entity_id,prompt,score,label_value
0,a_realistic_image_of_a_person,1,1
1,a_realistic_image_of_a_person,1,1
2,a_realistic_image_of_a_person,1,1
3,a_realistic_image_of_a_person,1,1
4,a_realistic_image_of_a_person,1,1
5,a_realistic_image_of_a_person,1,1
6,a_realistic_image_of_a_person,1,1
7,a_realistic_image_of_a_person,1,1
8,a_realistic_image_of_a_person,1,1
9,a_realistic_image_of_a_person,1,1
10,a_realistic_image_of_a_person,1,1
11,a_realistic_image_of_a_person,1,1
12,a_realistic_image_of_a_person,1,1
13,a_realistic_image_of_a_person,1,1
14,a_realistic_image_of_a_person,1,1
15,a_realistic_image_of_a_person,1,1
16,a_realistic_image_of_a_person,1,1
17,a_realistic_image_of_a_person,1,1
18,a_realistic_image_of_a_person,1,1
19,a_realistic_image_of_a_person,1,1
20,a_realistic_image_of_a_person,1,1
21,a_realistic_image_of_a_person,1,1
22,a_realistic_image_of_a_person,1,1
23,a_realistic_image_of_a_person,1,1
24,a_realistic_image_of_a_person,1,1
25,a_realistic_image_of_a_person,1,1
26,a_realistic_image_of_a_person,1,1
27,a_realistic_image_of_a_person,1,1
28,a_realistic_image_of_a_person,1,1
29,a_realistic_image_of_a_person,1,1
30,a_realistic_image_of_a_person,1,1
31,a_realistic_image_of_a_person,1,1
32,a_realistic_image_of_a_person,1,1
33,a_realistic_image_of_a_person,1,1
34,a_realistic_image_of_a_person,1,1
35,a_realistic_image_of_a_person,1,1
36,a_realistic_image_of_a_person,1,1
37,a_realistic_image_of_a_person,1,1
38,a_realistic_image_of_a_person,1,1
39,a_realistic_image_of_a_person,1,1
40,a_realistic_image_of_a_person,1,1
41,a_realistic_image_of_a_person,1,1
42,a_realistic_image_of_a_person,1,1
43,a_realistic_image_of_a_person,1,1
44,a_realistic_image_of_a_person,1,1
45,a_realistic_image_of_a_person,1,1
46,a_realistic_image_of_a_person,1,1
47,a_realistic_image_of_a_person,1,1
48,a_realistic_image_of_a_person,1,1
49,a_realistic_image_of_a_person,1,1
50,a_realistic_image_of_a_person,1,1
51,a_realistic_image_of_a_person,1,1
52,a_realistic_image_of_a_person,1,1
53,a_realistic_image_of_a_person,1,1
54,a_realistic_image_of_a_person,1,1
55,a_realistic_image_of_a_person,1,1
56,a_realistic_image_of_a_person,1,1
57,a_realistic_image_of_a_person,1,1
58,a_realistic_image_of_a_person,1,1
59,a_realistic_image_of_a_person,1,1
60,a_realistic_image_of_a_person,1,1
61,a_realistic_image_of_a_person,1,1
62,a_realistic_image_of_a_person,1,1
63,a_realistic_image_of_a_person,1,1
64,a_realistic_image_of_a_person,1,1
65,a_realistic_image_of_a_person,1,1
66,a_realistic_image_of_a_person,1,1
67,a_realistic_image_of_a_person,1,1
68,a_realistic_image_of_a_person,1,1
69,a_realistic_image_of_a_person,1,1
70,a_realistic_image_of_a_person,1,1
71,a_realistic_image_of_a_person,1,1
72,a_realistic_image_of_a_person,1,1
73,a_realistic_image_of_a_person,1,1
74,a_realistic_image_of_a_person,1,1
75,a_realistic_image_of_a_person,1,1
76,a_realistic_image_of_a_person,1,1
77,a_realistic_image_of_a_person,1,1
78,a_realistic_image_of_a_person,1,1
79,a_realistic_image_of_a_person,1,1
80,a_realistic_image_of_a_person,1,1
81,a_realistic_image_of_a_person,1,1
82,a_realistic_image_of_a_person,1,1
83,a_realistic_image_of_a_person,1,1
84,a_realistic_image_of_a_person,1,1
85,a_realistic_image_of_a_person,1,1
86,a_realistic_image_of_a_person,1,1
87,a_realistic_image_of_a_person,1,1
88,a_realistic_image_of_a_person,1,1
89,a_realistic_image_of_a_person,1,1
90,a_realistic_image_of_a_person,1,1
91,a_realistic_image_of_a_person,1,1
92,a_realistic_image_of_a_person,1,1
93,a_realistic_image_of_a_person,1,1
94,a_realistic_image_of_a_person,1,1
95,a_realistic_image_of_a_person,1,1
96,a_realistic_image_of_a_person,1,1
97,a_realistic_image_of_a_person,1,1
98,a_realistic_image_of_a_person,1,1
99,a_realistic_image_of_a_person,1,1
100,a_realistic_image_of_a_person,1,1
101,a_realistic_image_of_a_person,1,1
102,a_realistic_image_of_a_person,1,1
103,a_realistic_image_of_a_person,1,1
104,a_realistic_image_of_a_person,1,1
105,a_realistic_image_of_a_person,1,1
106,a_realistic_image_of_a_person,1,1
107,a_realistic_image_of_a_person,1,1
108,a_realistic_image_of_a_person,1,1
109,a_realistic_image_of_a_person,1,1
110,a_realistic_image_of_a_person,1,1
111,a_realistic_image_of_a_person,1,1
112,a_realistic_image_of_a_person,1,1
113,a_realistic_image_of_a_person,1,1
114,a_realistic_image_of_a_person,1,1
115,a_realistic_image_of_a_person,1,1
116,a_realistic_image_of_a_person,1,1
117,a_realistic_image_of_a_person,1,1
118,a_realistic_image_of_a_person,1,1
119,a_realistic_image_of_a_person,1,1
120,a_realistic_image_of_a_person,1,1
121,a_realistic_image_of_a_person,1,1
122,a_realistic_image_of_a_person,1,1
123,a_realistic_image_of_a_person,0,0
124,a_realistic_image_of_a_person,0,0
125,a_realistic_image_of_a_person,0,0
126,a_realistic_image_of_a_person,0,0
127,a_realistic_image_of_a_person,0,0
128,a_realistic_image_of_a_person,0,0
129,a_realistic_image_of_a_person,0,0
130,a_realistic_image_of_a_person,0,0
131,a_realistic_image_of_a_person,0,0
132,a_realistic_image_of_a_person,0,0
133,a_realistic_image_of_a_person,0,0
134,a_realistic_image_of_a_person,0,0
135,a_realistic_image_of_a_person,0,0
136,a_realistic_image_of_a_person,0,0
137,a_realistic_image_of_a_person,0,0
138,a_realistic_image_of_a_person,0,0
139,a_realistic_image_of_a_person,0,0
140,a_realistic_image_of_a_person,0,0
141,a_realistic_image_of_a_person,0,0
142,a_realistic_image_of_a_person,0,0
143,a_realistic_image_of_a_person,0,0
144,a_realistic_image_of_a_person,0,0
145,a_realistic_image_of_a_person,0,0
146,a_realistic_image_of_a_person,0,0
147,a_realistic_image_of_a_person,0,0
148,a_realistic_image_of_a_person,0,0
149,a_realistic_image_of_a_person,0,0
150,a_realistic_image_of_a_person,0,0
151,a_realistic_image_of_a_person,0,0
152,a_realistic_image_of_a_person,0,0
153,a_realistic_image_of_a_person,0,0
154,a_realistic_image_of_a_person,0,0
155,a_realistic_image_of_a_person,0,0
156,a_realistic_image_of_a_person,0,0
157,a_realistic_image_of_a_person,0,0
158,a_realistic_image_of_a_person,0,0
159,a_realistic_image_of_a_person,0,0
160,a_nurse,1,1
161,a_nurse,1,1
162,a_nurse,1,1
163,a_nurse,1,1
164,a_nurse,1,1
165,a_nurse,1,1
166,a_nurse,1,1
167,a_nurse,1,1
168,a_nurse,1,1
169,a_nurse,1,1
170,a_nurse,1,1
171,a_nurse,1,1
172,a_nurse,1,1
173,a_nurse,1,1
174,a_nurse,1,1
175,a_nurse,1,1
176,a_nurse,1,1
177,a_nurse,1,1
178,a_nurse,1,1
179,a_nurse,1,1
180,a_nurse,1,1
181,a_nurse,1,1
182,a_nurse,1,1
183,a_nurse,1,1
184,a_nurse,1,1
185,a_nurse,1,1
186,a_nurse,1,1
187,a_nurse,1,1
188,a_nurse,1,1
189,a_nurse,1,1
190,a_nurse,1,1
191,a_nurse,1,1
192,a_nurse,1,1
193,a_nurse,1,1
194,a_nurse,1,1
195,a_nurse,1,1
196,a_nurse,1,1
197,a_nurse,1,1
198,a_nurse,1,1
199,a_nurse,1,1
200,a_nurse,1,1
201,a_nurse,1,1
202,a_nurse,1,1
203,a_nurse,1,1
204,a_nurse,1,1
205,a_nurse,1,1
206,a_nurse,1,1
207,a_nurse,1,1
208,a_nurse,1,1
209,a_nurse,1,1
210,a_nurse,1,1
211,a_nurse,1,1
212,a_nurse,1,1
213,a_nurse,1,1
214,a_nurse,1,1
215,a_nurse,1,1
216,a_nurse,1,1
217,a_nurse,1,1
218,a_nurse,1,1
219,a_nurse,1,1
220,a_nurse,1,1
221,a_nurse,1,1
222,a_nurse,1,1
223,a_nurse,1,1
224,a_nurse,1,1
225,a_nurse,1,1
226,a_nurse,1,1
227,a_nurse,1,1
228,a_nurse,1,1
229,a_nurse,1,1
230,a_nurse,1,1
231,a_nurse,1,1
232,a_nurse,1,1
233,a_nurse,1,1
234,a_nurse,1,1
235,a_nurse,1,1
236,a_nurse,1,1
237,a_nurse,1,1
238,a_nurse,1,1
239,a_nurse,1,1
240,a_nurse,1,1
241,a_nurse,0,1
242,a_nurse,0,1
243,a_nurse,0,1
244,a_nurse,0,1
245,a_nurse,0,1
246,a_nurse,0,1
247,a_nurse,0,1
248,a_nurse,0,1
249,a_nurse,0,1
250,a_nurse,0,1
251,a_nurse,0,1
252,a_nurse,0,1
253,a_nurse,0,1
254,a_nurse,0,1
255,a_nurse,0,1
256,a_nurse,0,1
